kata_kunci,jenis_perkara,label
spion,Pelanggaran Perlengkapan Kendaraan,Ringan
tanpaspion,Pelanggaran Perlengkapan Kendaraan,Ringan
klaksonbising,Pelanggaran Perlengkapan Kendaraan,Ringan
klakson,Pelanggaran Perlengkapan Kendaraan,Ringan
helmstandar,Pelanggaran Keselamatan Berkendara,Ringan
helm tidak standar,Pelanggaran Keselamatan Berkendara,Ringan
penumpangtanpahelm,Pelanggaran Keselamatan Berkendara,Ringan
pengemuditanpahelm,Pelanggaran Keselamatan Berkendara,Ringan
mengemudicepat,Pelanggaran Kecepatan,Ringan
ngebut,Pelanggaran Kecepatan,Ringan
kecepatantinggi,Pelanggaran Kecepatan,Ringan
ugalugalan,Pelanggaran Kecepatan,Ringan
berkendaraugal,Pelanggaran Kecepatan,Ringan
melawanarah,Pelanggaran Arah Lalu Lintas,Ringan
putarbaliksembarangan,Pelanggaran Arah Lalu Lintas,Ringan
putarbalik,Pelanggaran Arah Lalu Lintas,Ringan
berhentisembarangan,Pelanggaran Berhenti dan Parkir,Ringan
berhentidijalur,Pelanggaran Berhenti dan Parkir,Ringan
parkirdilarang,Pelanggaran Berhenti dan Parkir,Ringan
gangguanarus,Gangguan Arus Lalu Lintas,Ringan
hambatarus,Gangguan Arus Lalu Lintas,Ringan
menghalangijalan,Gangguan Arus Lalu Lintas,Ringan
jualanbadanjalan,Gangguan Ketertiban Jalan,Ringan
pedagangbadanjalan,Gangguan Ketertiban Jalan,Ringan
lapaksembarangan,Gangguan Ketertiban Jalan,Ringan
spanduksembarangan,Pemasangan Spanduk Ilegal,Ringan
pasangspanduk,Pemasangan Spanduk Ilegal,Ringan
postersembarangan,Pemasangan Poster Ilegal,Ringan
tempelposter,Pemasangan Poster Ilegal,Ringan
reklamesembarangan,Pelanggaran Reklame,Ringan
reklameliar,Pelanggaran Reklame,Ringan
penggunaanlahanumum,Pelanggaran Penggunaan Fasilitas Umum,Ringan
mengganggufasilitasumum,Pelanggaran Penggunaan Fasilitas Umum,Ringan
gangguantempatumum,Gangguan Ketertiban Tempat Umum,Ringan
ributditempatumum,Gangguan Ketertiban Tempat Umum,Ringan
cekcokditempatumum,Gangguan Ketertiban Tempat Umum,Ringan
pertengkaranringan,Perselisihan Ringan,Ringan
perselisihanwarga,Perselisihan Ringan,Ringan
cekcokwarga,Perselisihan Ringan,Ringan
aduanwarga,Perselisihan Ringan,Ringan
sengketaringan,Sengketa Ringan,Ringan
perselisihankecil,Sengketa Ringan,Ringan
ganggautangga,Gangguan Ketertiban Bertetangga,Ringan
cekcoktetangga,Gangguan Ketertiban Bertetangga,Ringan
ributtetangga,Gangguan Ketertiban Bertetangga,Ringan
gangguantetangga,Gangguan Ketertiban Bertetangga,Ringan
ancamanringan,Ancaman Ringan,Ringan
mengancamringan,Ancaman Ringan,Ringan
ancamanlisan,Ancaman Ringan,Ringan
ejekan,Penghinaan Ringan,Ringan
olokolok,Penghinaan Ringan,Ringan
cemoohan,Penghinaan Ringan,Ringan
ucapanmenghina,Penghinaan Ringan,Ringan
fitnahringan,Fitnah Ringan,Ringan
tuduhanpalsu,Fitnah Ringan,Ringan
gosip,Pencemaran Nama Baik Ringan,Ringan
gosipwarga,Pencemaran Nama Baik Ringan,Ringan
perundunganringan,Perundungan Ringan,Ringan
ejekanpelajar,Perundungan Ringan,Ringan
olokpelajar,Perundungan Ringan,Ringan
bullyingringan,Perundungan Ringan,Ringan
perselisihanpelajar,Perselisihan Pelajar,Ringan
keributanpelajar,Keributan Pelajar,Ringan
tawuranringan,Keributan Pelajar,Ringan
bolossekolah,Pelanggaran Ketertiban Pelajar,Ringan
gangguansekolah,Pelanggaran Ketertiban Pelajar,Ringan
coretansekolah,Vandalisme Fasilitas Pendidikan,Ringan
coretanfasilitas,Vandalisme Fasilitas Pendidikan,Ringan
merusakfasilitassekolah,Vandalisme Fasilitas Pendidikan,Ringan
gangguanpasar,Gangguan Ketertiban Pasar,Ringan
keributanpasar,Gangguan Ketertiban Pasar,Ringan
parkirpasar,Pelanggaran Parkir Pasar,Ringan
gangguanterminal,Gangguan Ketertiban Terminal,Ringan
keributanterminal,Gangguan Ketertiban Terminal,Ringan
parkirterminal,Pelanggaran Parkir Terminal,Ringan
gangguanhalte,Gangguan Ketertiban Fasilitas Transportasi,Ringan
parkirhalte,Pelanggaran Parkir Fasilitas Transportasi,Ringan
gangguanstasiun,Gangguan Ketertiban Fasilitas Transportasi,Ringan
keributanstasiun,Gangguan Ketertiban Fasilitas Transportasi,Ringan
gangguanrumahsakit,Gangguan Ketertiban Fasilitas Umum,Ringan
keributanrumahsakit,Gangguan Ketertiban Fasilitas Umum,Ringan
gangguankantor,Gangguan Ketertiban Tempat Kerja,Ringan
keributankantor,Gangguan Ketertiban Tempat Kerja,Ringan
gangguanacara,Gangguan Ketertiban Acara,Ringan
keributanacara,Gangguan Ketertiban Acara,Ringan
keributanpesta,Gangguan Ketertiban Acara,Ringan
pestaberisik,Gangguan Ketertiban Acara,Ringan
mirasilegal,Pelanggaran Minuman Beralkohol Ringan,Ringan
minumankerasilegal,Pelanggaran Minuman Beralkohol Ringan,Ringan
minumanditempatumum,Pelanggaran Minuman Beralkohol Ringan,Ringan
minumankerasumum,Pelanggaran Minuman Beralkohol Ringan,Ringan
merokokdilarang,Pelanggaran Kawasan Tanpa Rokok,Ringan
merokoktempatumum,Pelanggaran Kawasan Tanpa Rokok,Ringan
merokoksembarangan,Pelanggaran Kawasan Tanpa Rokok,Ringan
hewanmengganggu,Gangguan Hewan,Ringan
hewannakal,Gangguan Hewan,Ringan
anjingmengganggu,Gangguan Hewan,Ringan
kucingmengganggu,Gangguan Hewan,Ringan
pembakaranlahankecil,Pembakaran Lahan Ringan,Ringan
bakarsemak,Pembakaran Lahan Ringan,Ringan
bakarsembarangan,Pembakaran Lahan Ringan,Ringan
asapgangguwarga,Gangguan Asap Lingkungan,Ringan
asapkebakaran,Gangguan Asap Lingkungan,Ringan
limbahdomestik,Pelanggaran Limbah Domestik,Ringan
buanglimbahsembarangan,Pelanggaran Limbah Domestik,Ringan
limbahrumah,Pelanggaran Limbah Domestik,Ringan
airkotor,Gangguan Kualitas Lingkungan,Ringan
baubusuk,Gangguan Kualitas Lingkungan,Ringan
bauganggu,Gangguan Kualitas Lingkungan,Ringan
pencemaranringan,Pencemaran Lingkungan Ringan,Ringan
pencemaranlingkungankecil,Pencemaran Lingkungan Ringan,Ringan
penebanganpohonsembarangan,Pelanggaran Penebangan Pohon,Ringan
tebangpohon,Pelanggaran Penebangan Pohon,Ringan
pohonditebang,Pelanggaran Penebangan Pohon,Ringan
ambilkayutanpaizin,Pelanggaran Pemanfaatan Kayu,Ringan
kayuilegalringan,Pelanggaran Pemanfaatan Kayu,Ringan
ambilpasir,Pelanggaran Pengambilan Material,Ringan
ambilbatusembarangan,Pelanggaran Pengambilan Material,Ringan
galianringan,Pelanggaran Pengambilan Material,Ringan
galiansembunyi,Pelanggaran Pengambilan Material,Ringan
membuangbangkai,Pelanggaran Kebersihan Lingkungan,Ringan
buangkotoran,Pelanggaran Kebersihan Lingkungan,Ringan
buanglimbah,Pelanggaran Kebersihan Lingkungan,Ringan
buangairkotor,Pelanggaran Kebersihan Lingkungan,Ringan
penyalahgunaanfasilitas,Pelanggaran Fasilitas Umum,Ringan
fasilitasumumdikuasai,Pelanggaran Fasilitas Umum,Ringan
dudukdijalan,Gangguan Ketertiban Jalan,Ringan
nongkrongdijalan,Gangguan Ketertiban Jalan,Ringan
nongkrongsembarangan,Gangguan Ketertiban Jalan,Ringan
nongkrongberisik,Gangguan Ketertiban Lingkungan,Ringan
berkumpulberisik,Gangguan Ketertiban Lingkungan,Ringan
kerumunanberisik,Gangguan Ketertiban Lingkungan,Ringan
menghalangipejalan,Gangguan Fasilitas Pejalan Kaki,Ringan
menghalangitrotoar,Gangguan Fasilitas Pejalan Kaki,Ringan
jualanditrotoar,Gangguan Fasilitas Pejalan Kaki,Ringan
parkirdidepanrumah,Pelanggaran Parkir Lingkungan,Ringan
parkirgangguakses,Pelanggaran Parkir Lingkungan,Ringan
halangiaksesrumah,Gangguan Akses Lingkungan,Ringan
menghalangiakses,Gangguan Akses Lingkungan,Ringan
gangguanakesehatan,Gangguan Ketertiban Lingkungan,Ringan
gangguankeamanan,Gangguan Ketertiban Lingkungan,Ringan
gangguankenyamanan,Gangguan Ketertiban Lingkungan,Ringan
keluhanwarga,Gangguan Ketertiban Lingkungan,Ringan
aduanmasyarakat,Gangguan Ketertiban Lingkungan,Ringan
persoalanwarga,Perselisihan Warga,Ringan
sengketatetangga,Perselisihan Warga,Ringan
cekcokkeluarga,Perselisihan Keluarga,Ringan
pertengkarankeluarga,Perselisihan Keluarga,Ringan
perselisihankeluarga,Perselisihan Keluarga,Ringan
cekcoksuamiistri,Perselisihan Keluarga,Ringan
pertengkaransuamiistri,Perselisihan Keluarga,Ringan
aduanrumahtangga,Perselisihan Keluarga,Ringan
konfliktetangga,Perselisihan Warga,Ringan
konflikwarga,Perselisihan Warga,Ringan
sengketalahanringan,Sengketa Lahan Ringan,Ringan
perselisihanbatas,Sengketa Lahan Ringan,Ringan
bataslahan,Sengketa Lahan Ringan,Ringan
perselisihantanah,Sengketa Lahan Ringan,Ringan
gangguankebun,Gangguan Lahan Pertanian,Ringan
ganggulahankebun,Gangguan Lahan Pertanian,Ringan
ternakmasuk,Gangguan Lahan Pertanian,Ringan
ternakmasukkebun,Gangguan Lahan Pertanian,Ringan
tanamanrusakternak,Gangguan Lahan Pertanian,Ringan
pencurianhasilkebun,Pelanggaran Hasil Pertanian,Berat
ambilhasilkebun,Pelanggaran Hasil Pertanian,Berat
ambilbuah,Pelanggaran Hasil Pertanian,Berat
ambilhasilpertanian,Pelanggaran Hasil Pertanian,Berat
pencurianringan,Pencurian Ringan,Ringan
curiringan,Pencurian Ringan,Ringan
ambilbarangringan,Pencurian Ringan,Ringan
baranghilangringan,Pencurian Ringan,Ringan
pencurianbarangkecil,Pencurian Ringan,Ringan
ambilbarangtanpaizin,Pengambilan Barang Tanpa Izin,Ringan
mengambilbarangtanpaizin,Pengambilan Barang Tanpa Izin,Ringan
barangtanpaizin,Pengambilan Barang Tanpa Izin,Ringan
kerugianringan,Kerugian Materi Ringan,Ringan
kerugian kecil,Kerugian Materi Ringan,Ringan
barangrusakringan,Perusakan Barang Ringan,Ringan
kerusakanringan,Perusakan Barang Ringan,Ringan
merusakbarangringan,Perusakan Barang Ringan,Ringan
pelanggaranmarkajalan,Pelanggaran Marka Jalan,Ringan
pelanggaranpelanggaranmarkajalan,Pelanggaran Marka Jalan,Ringan
kasuspelanggaranmarkajalan,Pelanggaran Marka Jalan,Ringan
tindakpelanggaranmarkajalan,Pelanggaran Marka Jalan,Ringan
pelanggaranlampulalulintas,Pelanggaran Lampu Lalu Lintas,Ringan
pelanggaranpelanggaranlampulalulintas,Pelanggaran Lampu Lalu Lintas,Ringan
kasuspelanggaranlampulalulintas,Pelanggaran Lampu Lalu Lintas,Ringan
tindakpelanggaranlampulalulintas,Pelanggaran Lampu Lalu Lintas,Ringan
pelanggaranjalursatuarah,Pelanggaran Jalur Satu Arah,Ringan
pelanggaranpelanggaranjalursatuarah,Pelanggaran Jalur Satu Arah,Ringan
kasuspelanggaranjalursatuarah,Pelanggaran Jalur Satu Arah,Ringan
tindakpelanggaranjalursatuarah,Pelanggaran Jalur Satu Arah,Ringan
pelanggaranputarbalik,Pelanggaran Putar Balik,Ringan
pelanggaranpelanggaranputarbalik,Pelanggaran Putar Balik,Ringan
kasuspelanggaranputarbalik,Pelanggaran Putar Balik,Ringan
tindakpelanggaranputarbalik,Pelanggaran Putar Balik,Ringan
pelanggaranmenyalip,Pelanggaran Menyalip,Ringan
pelanggaranpelanggaranmenyalip,Pelanggaran Menyalip,Ringan
kasuspelanggaranmenyalip,Pelanggaran Menyalip,Ringan
tindakpelanggaranmenyalip,Pelanggaran Menyalip,Ringan
pelanggaranpenggunaanponselberkendara,Pelanggaran Penggunaan Ponsel Berkendara,Ringan
pelanggaranpelanggaranpenggunaanponselberkendara,Pelanggaran Penggunaan Ponsel Berkendara,Ringan
kasuspelanggaranpenggunaanponselberkendara,Pelanggaran Penggunaan Ponsel Berkendara,Ringan
tindakpelanggaranpenggunaanponselberkendara,Pelanggaran Penggunaan Ponsel Berkendara,Ringan
pelanggaransabukpengaman,Pelanggaran Sabuk Pengaman,Ringan
pelanggaranpelanggaransabukpengaman,Pelanggaran Sabuk Pengaman,Ringan
kasuspelanggaransabukpengaman,Pelanggaran Sabuk Pengaman,Ringan
tindakpelanggaransabukpengaman,Pelanggaran Sabuk Pengaman,Ringan
pelanggaranpenumpangkendaraan,Pelanggaran Penumpang Kendaraan,Ringan
pelanggaranpelanggaranpenumpangkendaraan,Pelanggaran Penumpang Kendaraan,Ringan
kasuspelanggaranpenumpangkendaraan,Pelanggaran Penumpang Kendaraan,Ringan
tindakpelanggaranpenumpangkendaraan,Pelanggaran Penumpang Kendaraan,Ringan
pelanggaranjalursepeda,Pelanggaran Jalur Sepeda,Ringan
pelanggaranpelanggaranjalursepeda,Pelanggaran Jalur Sepeda,Ringan
kasuspelanggaranjalursepeda,Pelanggaran Jalur Sepeda,Ringan
tindakpelanggaranjalursepeda,Pelanggaran Jalur Sepeda,Ringan
pelanggaranareapejalankaki,Pelanggaran Area Pejalan Kaki,Ringan
pelanggaranpelanggaranareapejalankaki,Pelanggaran Area Pejalan Kaki,Ringan
kasuspelanggaranareapejalankaki,Pelanggaran Area Pejalan Kaki,Ringan
tindakpelanggaranareapejalankaki,Pelanggaran Area Pejalan Kaki,Ringan
pelanggaranparkirrumahsakit,Pelanggaran Parkir Rumah Sakit,Ringan
pelanggaranpelanggaranparkirrumahsakit,Pelanggaran Parkir Rumah Sakit,Ringan
kasuspelanggaranparkirrumahsakit,Pelanggaran Parkir Rumah Sakit,Ringan
tindakpelanggaranparkirrumahsakit,Pelanggaran Parkir Rumah Sakit,Ringan
pelanggaranparkirsekolah,Pelanggaran Parkir Sekolah,Ringan
pelanggaranpelanggaranparkirsekolah,Pelanggaran Parkir Sekolah,Ringan
kasuspelanggaranparkirsekolah,Pelanggaran Parkir Sekolah,Ringan
tindakpelanggaranparkirsekolah,Pelanggaran Parkir Sekolah,Ringan
pelanggaranparkirpasar,Pelanggaran Parkir Pasar,Ringan
pelanggaranpelanggaranparkirpasar,Pelanggaran Parkir Pasar,Ringan
kasuspelanggaranparkirpasar,Pelanggaran Parkir Pasar,Ringan
tindakpelanggaranparkirpasar,Pelanggaran Parkir Pasar,Ringan
pelanggaranparkirtempatibadah,Pelanggaran Parkir Tempat Ibadah,Ringan
pelanggaranpelanggaranparkirtempatibadah,Pelanggaran Parkir Tempat Ibadah,Ringan
kasuspelanggaranparkirtempatibadah,Pelanggaran Parkir Tempat Ibadah,Ringan
tindakpelanggaranparkirtempatibadah,Pelanggaran Parkir Tempat Ibadah,Ringan
pelanggaranperlengkapanmotor,Pelanggaran Perlengkapan Motor,Ringan
pelanggaranpelanggaranperlengkapanmotor,Pelanggaran Perlengkapan Motor,Ringan
kasuspelanggaranperlengkapanmotor,Pelanggaran Perlengkapan Motor,Ringan
tindakpelanggaranperlengkapanmotor,Pelanggaran Perlengkapan Motor,Ringan
pelanggaranperlengkapanmobil,Pelanggaran Perlengkapan Mobil,Ringan
pelanggaranpelanggaranperlengkapanmobil,Pelanggaran Perlengkapan Mobil,Ringan
kasuspelanggaranperlengkapanmobil,Pelanggaran Perlengkapan Mobil,Ringan
tindakpelanggaranperlengkapanmobil,Pelanggaran Perlengkapan Mobil,Ringan
pelanggarandokumenkendaraan,Pelanggaran Dokumen Kendaraan,Ringan
pelanggaranpelanggarandokumenkendaraan,Pelanggaran Dokumen Kendaraan,Ringan
kasuspelanggarandokumenkendaraan,Pelanggaran Dokumen Kendaraan,Ringan
tindakpelanggarandokumenkendaraan,Pelanggaran Dokumen Kendaraan,Ringan
pelanggaranujikendaraan,Pelanggaran Uji Kendaraan,Ringan
pelanggaranpelanggaranujikendaraan,Pelanggaran Uji Kendaraan,Ringan
kasuspelanggaranujikendaraan,Pelanggaran Uji Kendaraan,Ringan
tindakpelanggaranujikendaraan,Pelanggaran Uji Kendaraan,Ringan
gangguanketertibanperumahan,Gangguan Ketertiban Perumahan,Ringan
pelanggarangangguanketertibanperumahan,Gangguan Ketertiban Perumahan,Ringan
kasusgangguanketertibanperumahan,Gangguan Ketertiban Perumahan,Ringan
tindakgangguanketertibanperumahan,Gangguan Ketertiban Perumahan,Ringan
gangguanketertibanpermukiman,Gangguan Ketertiban Permukiman,Ringan
pelanggarangangguanketertibanpermukiman,Gangguan Ketertiban Permukiman,Ringan
kasusgangguanketertibanpermukiman,Gangguan Ketertiban Permukiman,Ringan
tindakgangguanketertibanpermukiman,Gangguan Ketertiban Permukiman,Ringan
gangguanketertibandesa,Gangguan Ketertiban Desa,Ringan
pelanggarangangguanketertibandesa,Gangguan Ketertiban Desa,Ringan
kasusgangguanketertibandesa,Gangguan Ketertiban Desa,Ringan
tindakgangguanketertibandesa,Gangguan Ketertiban Desa,Ringan
gangguanketertibannagari,Gangguan Ketertiban Nagari,Ringan
pelanggarangangguanketertibannagari,Gangguan Ketertiban Nagari,Ringan
kasusgangguanketertibannagari,Gangguan Ketertiban Nagari,Ringan
tindakgangguanketertibannagari,Gangguan Ketertiban Nagari,Ringan
perselisihanantarwarga,Perselisihan Antarwarga,Ringan
pelanggaranperselisihanantarwarga,Perselisihan Antarwarga,Ringan
kasusperselisihanantarwarga,Perselisihan Antarwarga,Ringan
tindakperselisihanantarwarga,Perselisihan Antarwarga,Ringan
perselisihanantartetangga,Perselisihan Antar Tetangga,Ringan
pelanggaranperselisihanantartetangga,Perselisihan Antar Tetangga,Ringan
kasusperselisihanantartetangga,Perselisihan Antar Tetangga,Ringan
tindakperselisihanantartetangga,Perselisihan Antar Tetangga,Ringan
perselisihanteman,Perselisihan Teman,Ringan
pelanggaranperselisihanteman,Perselisihan Teman,Ringan
kasusperselisihanteman,Perselisihan Teman,Ringan
tindakperselisihanteman,Perselisihan Teman,Ringan
pelanggaranperselisihanpelajar,Perselisihan Pelajar,Ringan
kasusperselisihanpelajar,Perselisihan Pelajar,Ringan
tindakperselisihanpelajar,Perselisihan Pelajar,Ringan
perselisihanpedagang,Perselisihan Pedagang,Ringan
pelanggaranperselisihanpedagang,Perselisihan Pedagang,Ringan
kasusperselisihanpedagang,Perselisihan Pedagang,Ringan
tindakperselisihanpedagang,Perselisihan Pedagang,Ringan
perselisihanpekerja,Perselisihan Pekerja,Ringan
pelanggaranperselisihanpekerja,Perselisihan Pekerja,Ringan
kasusperselisihanpekerja,Perselisihan Pekerja,Ringan
tindakperselisihanpekerja,Perselisihan Pekerja,Ringan
gangguansuaralingkungan,Gangguan Suara Lingkungan,Ringan
pelanggarangangguansuaralingkungan,Gangguan Suara Lingkungan,Ringan
kasusgangguansuaralingkungan,Gangguan Suara Lingkungan,Ringan
tindakgangguansuaralingkungan,Gangguan Suara Lingkungan,Ringan
gangguanwaktuistirahat,Gangguan Waktu Istirahat,Ringan
pelanggarangangguanwaktuistirahat,Gangguan Waktu Istirahat,Ringan
kasusgangguanwaktuistirahat,Gangguan Waktu Istirahat,Ringan
tindakgangguanwaktuistirahat,Gangguan Waktu Istirahat,Ringan
gangguanketertibanpagi,Gangguan Ketertiban Pagi,Ringan
pelanggarangangguanketertibanpagi,Gangguan Ketertiban Pagi,Ringan
kasusgangguanketertibanpagi,Gangguan Ketertiban Pagi,Ringan
tindakgangguanketertibanpagi,Gangguan Ketertiban Pagi,Ringan
gangguanketertibansiang,Gangguan Ketertiban Siang,Ringan
pelanggarangangguanketertibansiang,Gangguan Ketertiban Siang,Ringan
kasusgangguanketertibansiang,Gangguan Ketertiban Siang,Ringan
tindakgangguanketertibansiang,Gangguan Ketertiban Siang,Ringan
gangguanketertibansore,Gangguan Ketertiban Sore,Ringan
pelanggarangangguanketertibansore,Gangguan Ketertiban Sore,Ringan
kasusgangguanketertibansore,Gangguan Ketertiban Sore,Ringan
tindakgangguanketertibansore,Gangguan Ketertiban Sore,Ringan
gangguanketertibanmalam,Gangguan Ketertiban Malam,Ringan
pelanggarangangguanketertibanmalam,Gangguan Ketertiban Malam,Ringan
kasusgangguanketertibanmalam,Gangguan Ketertiban Malam,Ringan
tindakgangguanketertibanmalam,Gangguan Ketertiban Malam,Ringan
kebisinganmalam,Kebisingan Malam,Ringan
pelanggarankebisinganmalam,Kebisingan Malam,Ringan
kasuskebisinganmalam,Kebisingan Malam,Ringan
tindakkebisinganmalam,Kebisingan Malam,Ringan
keributanmalam,Keributan Malam,Ringan
pelanggarankeributanmalam,Keributan Malam,Ringan
kasuskeributanmalam,Keributan Malam,Ringan
tindakkeributanmalam,Keributan Malam,Ringan
gangguanacaramasyarakat,Gangguan Acara Masyarakat,Ringan
pelanggarangangguanacaramasyarakat,Gangguan Acara Masyarakat,Ringan
kasusgangguanacaramasyarakat,Gangguan Acara Masyarakat,Ringan
tindakgangguanacaramasyarakat,Gangguan Acara Masyarakat,Ringan
gangguankegiatanwarga,Gangguan Kegiatan Warga,Ringan
pelanggarangangguankegiatanwarga,Gangguan Kegiatan Warga,Ringan
kasusgangguankegiatanwarga,Gangguan Kegiatan Warga,Ringan
tindakgangguankegiatanwarga,Gangguan Kegiatan Warga,Ringan
gangguankegiatanolahraga,Gangguan Kegiatan Olahraga,Ringan
pelanggarangangguankegiatanolahraga,Gangguan Kegiatan Olahraga,Ringan
kasusgangguankegiatanolahraga,Gangguan Kegiatan Olahraga,Ringan
tindakgangguankegiatanolahraga,Gangguan Kegiatan Olahraga,Ringan
gangguankegiatansekolah,Gangguan Kegiatan Sekolah,Ringan
pelanggarangangguankegiatansekolah,Gangguan Kegiatan Sekolah,Ringan
kasusgangguankegiatansekolah,Gangguan Kegiatan Sekolah,Ringan
tindakgangguankegiatansekolah,Gangguan Kegiatan Sekolah,Ringan
gangguankegiatankeagamaan,Gangguan Kegiatan Keagamaan,Ringan
pelanggarangangguankegiatankeagamaan,Gangguan Kegiatan Keagamaan,Ringan
kasusgangguankegiatankeagamaan,Gangguan Kegiatan Keagamaan,Ringan
tindakgangguankegiatankeagamaan,Gangguan Kegiatan Keagamaan,Ringan
gangguankegiatanadat,Gangguan Kegiatan Adat,Ringan
pelanggarangangguankegiatanadat,Gangguan Kegiatan Adat,Ringan
kasusgangguankegiatanadat,Gangguan Kegiatan Adat,Ringan
tindakgangguankegiatanadat,Gangguan Kegiatan Adat,Ringan
gangguantempatwisata,Gangguan Tempat Wisata,Ringan
pelanggarangangguantempatwisata,Gangguan Tempat Wisata,Ringan
kasusgangguantempatwisata,Gangguan Tempat Wisata,Ringan
tindakgangguantempatwisata,Gangguan Tempat Wisata,Ringan
gangguankawasanpantai,Gangguan Kawasan Pantai,Ringan
pelanggarangangguankawasanpantai,Gangguan Kawasan Pantai,Ringan
kasusgangguankawasanpantai,Gangguan Kawasan Pantai,Ringan
tindakgangguankawasanpantai,Gangguan Kawasan Pantai,Ringan
gangguantamanumum,Gangguan Taman Umum,Ringan
pelanggarangangguantamanumum,Gangguan Taman Umum,Ringan
kasusgangguantamanumum,Gangguan Taman Umum,Ringan
tindakgangguantamanumum,Gangguan Taman Umum,Ringan
gangguanruangpublik,Gangguan Ruang Publik,Ringan
pelanggarangangguanruangpublik,Gangguan Ruang Publik,Ringan
kasusgangguanruangpublik,Gangguan Ruang Publik,Ringan
tindakgangguanruangpublik,Gangguan Ruang Publik,Ringan
pelanggarankebersihanjalan,Pelanggaran Kebersihan Jalan,Ringan
pelanggaranpelanggarankebersihanjalan,Pelanggaran Kebersihan Jalan,Ringan
kasuspelanggarankebersihanjalan,Pelanggaran Kebersihan Jalan,Ringan
tindakpelanggarankebersihanjalan,Pelanggaran Kebersihan Jalan,Ringan
pelanggarankebersihanpasar,Pelanggaran Kebersihan Pasar,Ringan
pelanggaranpelanggarankebersihanpasar,Pelanggaran Kebersihan Pasar,Ringan
kasuspelanggarankebersihanpasar,Pelanggaran Kebersihan Pasar,Ringan
tindakpelanggarankebersihanpasar,Pelanggaran Kebersihan Pasar,Ringan
pelanggarankebersihantempatumum,Pelanggaran Kebersihan Tempat Umum,Ringan
pelanggaranpelanggarankebersihantempatumum,Pelanggaran Kebersihan Tempat Umum,Ringan
kasuspelanggarankebersihantempatumum,Pelanggaran Kebersihan Tempat Umum,Ringan
tindakpelanggarankebersihantempatumum,Pelanggaran Kebersihan Tempat Umum,Ringan
pelanggaranpembuangansampah,Pelanggaran Pembuangan Sampah,Ringan
pelanggaranpelanggaranpembuangansampah,Pelanggaran Pembuangan Sampah,Ringan
kasuspelanggaranpembuangansampah,Pelanggaran Pembuangan Sampah,Ringan
tindakpelanggaranpembuangansampah,Pelanggaran Pembuangan Sampah,Ringan
gangguanbaulingkungan,Gangguan Bau Lingkungan,Ringan
pelanggarangangguanbaulingkungan,Gangguan Bau Lingkungan,Ringan
kasusgangguanbaulingkungan,Gangguan Bau Lingkungan,Ringan
tindakgangguanbaulingkungan,Gangguan Bau Lingkungan,Ringan
gangguanasaplingkungan,Gangguan Asap Lingkungan,Ringan
pelanggarangangguanasaplingkungan,Gangguan Asap Lingkungan,Ringan
kasusgangguanasaplingkungan,Gangguan Asap Lingkungan,Ringan
tindakgangguanasaplingkungan,Gangguan Asap Lingkungan,Ringan
gangguansaluranair,Gangguan Saluran Air,Ringan
pelanggarangangguansaluranair,Gangguan Saluran Air,Ringan
kasusgangguansaluranair,Gangguan Saluran Air,Ringan
tindakgangguansaluranair,Gangguan Saluran Air,Ringan
pelanggarandrainase,Pelanggaran Drainase,Ringan
pelanggaranpelanggarandrainase,Pelanggaran Drainase,Ringan
kasuspelanggarandrainase,Pelanggaran Drainase,Ringan
tindakpelanggarandrainase,Pelanggaran Drainase,Ringan
gangguanhewanternak,Gangguan Hewan Ternak,Ringan
pelanggarangangguanhewanternak,Gangguan Hewan Ternak,Ringan
kasusgangguanhewanternak,Gangguan Hewan Ternak,Ringan
tindakgangguanhewanternak,Gangguan Hewan Ternak,Ringan
gangguanhewanpeliharaan,Gangguan Hewan Peliharaan,Ringan
pelanggarangangguanhewanpeliharaan,Gangguan Hewan Peliharaan,Ringan
kasusgangguanhewanpeliharaan,Gangguan Hewan Peliharaan,Ringan
tindakgangguanhewanpeliharaan,Gangguan Hewan Peliharaan,Ringan
gangguankebunwarga,Gangguan Kebun Warga,Ringan
pelanggarangangguankebunwarga,Gangguan Kebun Warga,Ringan
kasusgangguankebunwarga,Gangguan Kebun Warga,Ringan
tindakgangguankebunwarga,Gangguan Kebun Warga,Ringan
gangguansawahwarga,Gangguan Sawah Warga,Ringan
pelanggarangangguansawahwarga,Gangguan Sawah Warga,Ringan
kasusgangguansawahwarga,Gangguan Sawah Warga,Ringan
tindakgangguansawahwarga,Gangguan Sawah Warga,Ringan
pelanggaranbataslahan,Pelanggaran Batas Lahan,Ringan
pelanggaranpelanggaranbataslahan,Pelanggaran Batas Lahan,Ringan
kasuspelanggaranbataslahan,Pelanggaran Batas Lahan,Ringan
tindakpelanggaranbataslahan,Pelanggaran Batas Lahan,Ringan
perselisihanbatastanah,Perselisihan Batas Tanah,Ringan
pelanggaranperselisihanbatastanah,Perselisihan Batas Tanah,Ringan
kasusperselisihanbatastanah,Perselisihan Batas Tanah,Ringan
tindakperselisihanbatastanah,Perselisihan Batas Tanah,Ringan
sengketabarangringan,Sengketa Barang Ringan,Ringan
pelanggaransengketabarangringan,Sengketa Barang Ringan,Ringan
kasussengketabarangringan,Sengketa Barang Ringan,Ringan
tindaksengketabarangringan,Sengketa Barang Ringan,Ringan
